Date,competition,home_team,home_goals,home_points,away_team,away_goals,away_points,total_home_score,total_away_score
5/1/16,Connacht GAA Football Senior Championship,New_york,0,17,Roscommon,1,15,17,18
5/14/16,Leinster GAA Football Senior Championship,Louth,2,24,Carlow,3,11,30,20
5/14/16,Leinster GAA Football Senior Championship,Laois,3,16,Wicklow,0,18,25,18
5/15/16,Leinster GAA Football Senior Championship,Offaly,2,21,Longford,2,13,27,19
5/15/16,Ulster GAA Football Senior Championship,Fermanagh,1,12,Antrim,0,9,15,9
5/21/16,Leinster GAA Football Senior Championship,Wexford,0,8,Kildare,0,9,8,9
5/22/16,Connacht GAA Football Senior Championship,Leitrim,0,11,Roscommon,1,21,11,24
5/22/16,Ulster GAA Football Senior Championship,Derry,0,12,Tyrone,3,14,12,23
5/29/22,Connacht GAA Football Senior Championship,London,0,9,Mayo,2,16,9,22
5/29/22,Munster GAA Football Senior Championship,Limerick,0,13,Clare,0,16,13,16
5/29/22,Munster GAA Football Senior Championship,Waterford,1,7,Tipperary,1,15,10,18
5/29/22,Ulster GAA Football Senior Championship,Cavan,2,16,Armagh,0,14,22,14
6/4/16,Leinster GAA Football Senior Championship,Laois,2,10,Dublin,2,21,16,27
6/5/16,Ulster GAA Football Senior Championship,Monaghan,2,22,Down,0,9,28,9
6/12/16,Connacht GAA Football Senior Championship,Roscommon,4,16,Sligo,2,13,28,19
6/12/16,Leinster GAA Football Senior Championship,Louth,1,13,Meath,0,20,16,20
6/12/16,Leinster GAA Football Senior Championship,Westmeath,0,13,Offaly,0,12,13,12
6/12/16,Munster GAA Football Senior Championship,Kerry,2,23,Clare,0,17,29,17
6/12/16,Munster GAA Football Senior Championship,Tipperary,3,15,Cork,2,16,24,22
6/12/16,Ulster GAA Football Senior Championship,Donegal,2,12,Fermanagh,0,11,18,11
6/18/16,GAA Football All-Ireland Senior Championship,Laois,1,10,Armagh,0,10,13,10
6/18/16,GAA Football All-Ireland Senior Championship,Derry,1,18,Louth,2,10,21,16
6/18/16,GAA Football All-Ireland Senior Championship,Carlow,1,17,Wicklow,1,12,20,15
6/18/16,Connacht GAA Football Senior Championship,Mayo,0,12,Galway,1,12,12,15
6/19/16,GAA Football All-Ireland Senior Championship,Leitrim,0,12,Waterford,0,8,12,8
6/19/16,Ulster GAA Football Senior Championship,Tyrone,0,16,Cavan,3,7,16,16
6/25/16,GAA Football All-Ireland Senior Championship,Offaly,0,17,London,1,7,17,10
6/25/16,GAA Football All-Ireland Senior Championship,Antrim,0,9,Limerick,2,6,9,12
6/25/16,GAA Football All-Ireland Senior Championship,Down,3,17,Longford,2,24,26,30
6/25/16,GAA Football All-Ireland Senior Championship,Wexford,1,11,Fermanagh,0,19,14,19
6/25/16,Ulster GAA Football Senior Championship,Donegal,1,11,Monaghan,0,14,14,14
6/26/16,Leinster GAA Football Senior Championship,Westmeath,1,12,Kildare,1,11,15,14
6/26/16,Leinster GAA Football Senior Championship,Dublin,0,21,Meath,0,11,21,11
7/2/16,GAA Football All-Ireland Senior Championship,Laois,1,11,Armagh,1,10,14,13
7/2/16,GAA Football All-Ireland Senior Championship,Sligo,2,15,Leitrim,0,10,21,10
7/2/16,Ulster GAA Football Senior Championship,Donegal,0,17,Monaghan,2,10,17,16
7/3/16,Munster GAA Football Senior Championship,Kerry,3,17,Tipperary,2,10,26,16
7/3/16,Ulster GAA Football Senior Championship,Cavan,2,17,Tyrone,5,18,23,33
7/9/16,GAA Football All-Ireland Senior Championship,Derry,1,14,Meath,1,11,17,14
7/9/16,GAA Football All-Ireland Senior Championship,Limerick,0,10,Cork,2,12,10,18
7/9/16,GAA Football All-Ireland Senior Championship,Mayo,2,14,Fermanagh,1,12,20,15
7/9/16,GAA Football All-Ireland Senior Championship,Cavan,2,13,Carlow,0,12,19,12
7/9/16,GAA Football All-Ireland Senior Championship,Monaghan,1,13,Longford,2,13,16,19
7/9/16,GAA Football All-Ireland Senior Championship,Kildare,1,22,Offaly,2,14,25,20
7/10/16,GAA Football All-Ireland Senior Championship,Clare,0,14,Laois,1,10,14,13
7/10/16,Connacht GAA Football Senior Championship,Galway,0,13,Roscommon,1,10,13,13
7/16/16,GAA Football All-Ireland Senior Championship,Sligo,1,13,Clare,2,17,16,23
7/16/16,GAA Football All-Ireland Senior Championship,Longford,1,6,Cork,2,9,9,15
7/16/16,GAA Football All-Ireland Senior Championship,Cavan,0,18,Derry,1,17,18,20
7/16/16,GAA Football All-Ireland Senior Championship,Mayo,2,17,Kildare,0,14,23,14
7/17/16,Connacht GAA Football Senior Championship,Galway,3,16,Roscommon,0,14,25,14
7/17/16,Leinster GAA Football Senior Championship,Dublin,2,19,Westmeath,0,10,25,10
7/17/16,Ulster GAA Football Senior Championship,Donegal,0,11,Tyrone,0,13,11,13
7/23/16,GAA Football All-Ireland Senior Championship,Clare,2,12,Roscommon,1,9,18,12
7/23/16,GAA Football All-Ireland Senior Championship,Tipperary,1,21,Derry,2,17,24,23
7/30/16,GAA Football All-Ireland Senior Championship,Donegal,0,21,Cork,1,15,21,18
7/30/16,GAA Football All-Ireland Senior Championship,Mayo,3,15,Westmeath,1,14,24,17
7/31/16,GAA Football All-Ireland Senior Championship,Kerry,2,16,Clare,0,11,22,11
7/31/16,GAA Football All-Ireland Senior Championship,Galway,1,10,Tipperary,3,13,13,22
8/6/16,GAA Football All-Ireland Senior Championship,Tyrone,0,12,Mayo,0,13,12,13
8/6/16,GAA Football All-Ireland Senior Championship,Dublin,1,15,Donegal,1,10,18,13
8/21/16,GAA Football All-Ireland Senior Championship,Mayo,2,13,Tipperary,0,14,19,14
8/28/16,GAA Football All-Ireland Senior Championship,Dublin,0,22,Kerry,2,14,22,20
9/18/16,GAA Football All-Ireland Senior Championship,Dublin,2,9,Mayo,0,15,15,15
10/1/16,GAA Football All-Ireland Senior Championship,Dublin,1,15,Mayo,1,14,18,17
2/4/17,Allianz Football League Roinn 1,Mayo,0,12,Monaghan,1,11,12,14
2/4/17,Allianz Football League Roinn 1,Down,0,10,Fermanagh,1,16,10,19
2/4/17,Allianz Football League Roinn 1,Laois,0,10,Louth,2,16,10,22
2/5/17,Allianz Football League Roinn 1,Tyrone,0,18,Roscommon,1,9,18,12
2/5/17,Allianz Football League Roinn 1,Donegal,1,17,Kerry,2,17,20,23
2/5/17,Allianz Football League Roinn 1,Cavan,0,11,Dublin,0,18,11,18
2/5/17,Allianz Football League Roinn 2,Galway,0,14,Cork,1,11,14,14
2/5/17,Allianz Football League Roinn 2,Derry,0,11,Clare,1,8,11,11
2/5/17,Allianz Football League Roinn 2,Meath,0,16,Kildare,3,17,16,26
2/5/17,Allianz Football League Roinn 3,Longford,1,12,Offaly,0,10,15,10
2/5/17,Allianz Football League Roinn 3,Tipperary,2,12,Antrim,0,13,18,13
2/5/17,Allianz Football League Roinn 3,Sligo,1,14,Armagh,2,11,17,17
2/5/17,Allianz Football League Roinn 4,Waterford,1,14,Armagh,2,11,17,17
2/5/17,Allianz Football League Roinn 4,Westmeath,2,10,Carlow,2,10,16,16
2/5/17,Allianz Football League Roinn 4,Wicklow,0,10,Leitrim,1,17,10,20
2/5/17,Allianz Football League Roinn 4,Wexford,0,14,Limerick,1,8,14,11
2/11/17,Allianz Football League Roinn 1,Kerry,1,10,Mayo,0,15,13,15
2/11/17,Allianz Football League Roinn 1,Dublin,0,10,Tyrone,1,7,10,10
2/11/17,Allianz Football League Roinn 4,Waterford,1,17,Wicklow,1,9,20,12
2/12/17,Allianz Football League Roinn 1,Monaghan,0,7,Cavan,0,7,7,7
2/12/17,Allianz Football League Roinn 1,Roscommon,2,9,Donegal,0,16,15,16
2/12/17,Allianz Football League Roinn 2,Clare,2,11,Down,0,11,17,11
2/12/17,Allianz Football League Roinn 2,Kildare,1,14,Cork,1,8,17,11
2/12/17,Allianz Football League Roinn 2,Fermanagh,0,10,Galway,1,13,10,16
2/12/17,Allianz Football League Roinn 2,Meath,3,15,Derry,0,9,24,9
2/12/17,Allianz Football League Roinn 3,Louth,0,11,Longford,0,10,11,10
2/12/17,Allianz Football League Roinn 3,Tipperary,1,16,Sligo,2,14,19,20
2/12/17,Allianz Football League Roinn 3,Offaly,0,23,Antrim,1,7,23,10
2/12/17,Allianz Football League Roinn 3,Armagh,0,16,Laois,2,11,16,17
2/12/17,Allianz Football League Roinn 4,Carlow,0,16,London,2,15,16,21
2/12/17,Allianz Football League Roinn 4,Limerick,0,12,Westmeath,1,18,12,21
2/12/17,Allianz Football League Roinn 4,Leitrim,0,14,Wexford,0,16,14,16
2/25/17,Allianz Football League Roinn 1,Mayo,1,19,Roscommon,0,14,22,14
2/25/17,Allianz Football League Roinn 2,Down,1,13,Meath,0,14,16,14
2/25/17,Allianz Football League Roinn 3,Laois,1,10,Tipperary,1,16,13,19
2/25/17,Allianz Football League Roinn 4,Carlow,1,10,Limerick,0,10,13,10
2/26/17,Allianz Football League Roinn 1,Donegal,2,5,Dublin,1,8,11,11
2/26/17,Allianz Football League Roinn 1,Kerry,1,10,Monaghan,2,8,13,14
2/26/17,Allianz Football League Roinn 2,Cork,1,14,Fermanagh,0,9,17,9
2/26/17,Allianz Football League Roinn 2,Derry,1,18,Kildare,1,17,21,20
2/26/17,Allianz Football League Roinn 2,Galway,3,13,Clare,1,11,22,14
2/26/17,Allianz Football League Roinn 3,Offaly,0,14,Louth,2,13,14,19
2/26/17,Allianz Football League Roinn 3,Longford,3,9,Armagh,3,11,18,20
2/26/17,Allianz Football League Roinn 3,Antrim,0,11,Sligo,1,7,11,10
2/26/17,Allianz Football League Roinn 4,Wexford,1,9,Waterford,0,10,12,10
2/26/17,Allianz Football League Roinn 4,Wicklow,0,17,London,2,4,17,10
2/26/17,Allianz Football League Roinn 4,Westmeath,2,18,Leitrim,1,9,24,12
3/4/17,Allianz Football League Roinn 1,Dublin,1,16,Mayo,0,7,19,7
3/4/17,Allianz Football League Roinn 1,Cavan,0,11,Donegal,1,16,11,19
3/4/17,Allianz Football League Roinn 1,Tyrone,0,14,Monaghan,0,10,14,10
3/4/17,Allianz Football League Roinn 4,Limerick,1,13,London,0,12,16,12
3/5/17,Allianz Football League Roinn 1,Roscommon,1,13,Kerry,1,19,16,22
3/5/17,Allianz Football League Roinn 2,Kildare,4,14,Fermanagh,0,14,26,14
3/5/17,Allianz Football League Roinn 2,Meath,1,13,Galway,0,15,16,15
3/5/17,Allianz Football League Roinn 2,Clare,2,11,Cork,0,9,17,9
3/5/17,Allianz Football League Roinn 2,Derry,1,7,Down,1,15,10,18
3/5/17,Allianz Football League Roinn 3,Louth,2,10,Antrim,1,11,16,14
3/5/17,Allianz Football League Roinn 3,Armagh,6,22,Offaly,0,10,40,10
3/5/17,Allianz Football League Roinn 3,Sligo,0,18,Laois,2,10,18,16
3/5/17,Allianz Football League Roinn 4,Leitrim,2,14,Carlow,2,12,20,18
3/5/17,Allianz Football League Roinn 4,Waterford,2,11,Westmeath,3,13,17,22
3/5/17,Allianz Football League Roinn 4,Wicklow,0,13,Wexford,1,13,13,16
3/11/17,Allianz Football League Roinn 3,Tipperary,3,17,Longford,0,18,26,18
3/12/17,Allianz Football League Roinn 1,Tyrone,0,19,Cavan,1,9,19,12
3/18/17,Allianz Football League Roinn 1,Donegal,0,12,Tyrone,0,6,12,6
3/18/17,Allianz Football League Roinn 1,Kerry,0,13,Dublin,0,13,13,13
3/18/17,Allianz Football League Roinn 2,Down,0,10,Kildare,2,9,10,15
3/18/17,Allianz Football League Roinn 4,Carlow,2,10,Waterford,0,7,16,7
3/19/17,Allianz Football League Roinn 1,Mayo,0,15,Cavan,1,14,15,17
3/19/17,Allianz Football League Roinn 1,Monaghan,2,17,Roscommon,1,13,23,16
3/19/17,Allianz Football League Roinn 2,Fermanagh,0,18,Clare,1,10,18,13
3/19/17,Allianz Football League Roinn 2,Cork,0,18,Meath,1,15,18,18
3/19/17,Allianz Football League Roinn 2,Galway,5,15,Derry,2,15,30,21
3/19/17,Allianz Football League Roinn 3,Antrim,1,10,Laois,0,11,13,11
3/19/17,Allianz Football League Roinn 3,Louth,0,11,Armagh,3,15,11,24
3/19/17,Allianz Football League Roinn 3,Longford,0,16,Sligo,2,7,16,13
3/19/17,Allianz Football League Roinn 3,Offaly,2,11,Tipperary,2,15,17,21
3/19/17,Allianz Football League Roinn 4,Wexford,0,15,London,0,9,15,9
3/19/17,Allianz Football League Roinn 4,Limerick,2,11,Leitrim,0,15,17,15
3/19/17,Allianz Football League Roinn 4,Westmeath,0,19,Wicklow,0,14,19,14
3/25/17,Allianz Football League Roinn 1,Dublin,2,29,Roscommon,0,14,35,14
3/25/17,Allianz Football League Roinn 3,Armagh,1,12,Antrim,0,13,15,13
3/25/17,Allianz Football League Roinn 3,Laois,3,13,Longford,0,13,22,13
3/25/17,Allianz Football League Roinn 4,Waterford,0,8,Limerick,0,14,8,14
3/26/17,Allianz Football League Roinn 1,Cavan,3,10,Kerry,0,13,19,13
3/26/17,Allianz Football League Roinn 1,Tyrone,0,12,Mayo,1,10,12,13
3/26/17,Allianz Football League Roinn 1,Donegal,1,11,Monaghan,1,11,14,14
3/26/17,Allianz Football League Roinn 2,Derry,2,10,Cork,0,20,16,20
3/26/17,Allianz Football League Roinn 2,Meath,3,15,Fermanagh,0,6,24,6
3/26/17,Allianz Football League Roinn 2,Down,1,13,Galway,3,15,16,24
3/26/17,Allianz Football League Roinn 2,Kildare,0,18,Clare,1,14,18,17
3/26/17,Allianz Football League Roinn 3,Tipperary,0,12,Louth,0,16,12,16
3/26/17,Allianz Football League Roinn 3,Sligo,2,10,Offaly,2,14,16,20
3/26/17,Allianz Football League Roinn 4,Leitrim,2,16,London,0,15,22,15
3/26/17,Allianz Football League Roinn 4,Wexford,0,9,Westmeath,3,24,9,33
3/26/17,Allianz Football League Roinn 4,Wicklow,0,10,Carlow,1,18,10,21
4/1/17,Allianz Football League Roinn 4,Leitrim,1,13,Waterford,2,8,16,14
4/2/17,Allianz Football League Roinn 1,Monaghan,1,15,Dublin,2,15,18,21
4/2/17,Allianz Football League Roinn 1,Mayo,1,12,Donegal,0,13,15,13
4/2/17,Allianz Football League Roinn 1,Kerry,1,21,Tyrone,2,11,24,17
4/2/17,Allianz Football League Roinn 1,Roscommon,1,13,Cavan,1,10,16,13
4/2/17,Allianz Football League Roinn 2,Galway,0,14,Kildare,0,13,14,13
4/2/17,Allianz Football League Roinn 2,Cork,1,10,Down,0,13,13,13
4/2/17,Allianz Football League Roinn 2,Clare,1,13,Meath,3,19,16,28
4/2/17,Allianz Football League Roinn 2,Fermanagh,0,13,Derry,2,8,13,14
4/2/17,Allianz Football League Roinn 2,Antrim,1,13,Longford,0,16,16,16
4/2/17,Allianz Football League Roinn 3,Louth,1,11,Sligo,0,17,14,17
4/2/17,Allianz Football League Roinn 3,Armagh,0,16,Tipperary,3,8,16,17
4/2/17,Allianz Football League Roinn 3,Offaly,3,15,Laois,4,11,24,23
4/2/17,Allianz Football League Roinn 4,Carlow,2,14,Wexford,1,7,20,10
4/2/17,Allianz Football League Roinn 4,Westmeath,3,26,London,1,9,35,12
4/2/17,Allianz Football League Roinn 4,Limerick,2,13,Wicklow,9,2,19,29
4/8/17,Allianz Football League Roinn 3,Louth,0,19,Tipperary,3,19,19,28
4/8/17,Allianz Football League Roinn 4,Westmeath,2,24,Wexford,2,11,30,17
4/9/17,Allianz Football League Roinn 1,Dublin,1,16,Kerry,0,20,19,20
4/9/17,Allianz Football League Roinn 2,Kildare,0,16,Galway,0,18,16,18
5/7/17,Connacht GAA Football Senior Championship,New_york,1,13,Sligo,1,21,16,24
5/20/17,Ulster GAA Football Senior Championship,Monaghan,1,20,Fermanagh,1,11,23,14
5/21/17,Connacht GAA Football Senior Championship,Mayo,2,14,Sligo,0,11,20,11
5/21/17,Leinster GAA Football Senior Championship,Louth,1,19,Wicklow,1,14,22,17
5/21/17,Leinster GAA Football Senior Championship,Laois,4,15,Longford,0,16,27,16
5/21/17,Leinster GAA Football Senior Championship,Carlow,2,17,Wexford,2,13,23,19
5/21/17,Ulster GAA Football Senior Championship,Donegal,3,19,Antrim,1,9,28,12
5/27/17,Munster GAA Football Senior Championship,Waterford,1,11,Cork,1,12,14,15
5/28/17,Connacht GAA Football Senior Championship,London,0,16,Leitrim,3,10,16,19
5/28/17,Munster GAA Football Senior Championship,Clare,1,13,Limerick,1,12,16,15
5/28/17,Ulster GAA Football Senior Championship,Derry,0,11,Tyrone,0,22,11,22
6/3/17,Leinster GAA Football Senior Championship,Dublin,0,19,Carlow,0,7,19,7
6/4/17,Leinster GAA Football Senior Championship,Meath,0,27,Louth,3,9,27,18
6/4/17,Leinster GAA Football Senior Championship,Kildare,1,21,Laois,1,7,24,10
6/4/17,Ulster GAA Football Senior Championship,Down,0,15,Armagh,2,7,15,13
6/10/17,Munster GAA Football Senior Championship,Cork,1,10,Tipperary,1,9,13,12
6/11/17,Connacht GAA Football Senior Championship,Galway,0,15,Mayo,1,11,15,14
6/11/17,Leinster GAA Football Senior Championship,Offaly,0,10,Westmeath,0,10,10,10
6/11/17,Munster GAA Football Senior Championship,Clare,1,12,Kerry,1,18,15,21
6/11/17,Ulster GAA Football Senior Championship,Cavan,0,15,Monaghan,1,15,15,18
6/17/17,GAA Football All-Ireland Senior Championship,Waterford,0,13,Derry,1,17,13,20
6/17/17,GAA Football All-Ireland Senior Championship,Louth,1,10,Longford,2,15,13,21
6/17/17,GAA Football All-Ireland Senior Championship,Wicklow,3,10,Laois,2,16,19,22
6/17/17,GAA Football All-Ireland Senior Championship,Sligo,0,22,Antrim,3,7,22,16
6/17/17,Leinster GAA Football Senior Championship,Westmeath,3,17,Offaly,0,15,26,15
6/17/17,Leinster GAA Football Senior Championship,Meath,0,13,Kildare,2,16,13,22
6/18/17,Connacht GAA Football Senior Championship,Roscommon,2,23,Leitrim,1,9,29,12
6/18/17,Ulster GAA Football Senior Championship,Donegal,1,12,Tyrone,1,21,15,24
6/24/17,GAA Football All-Ireland Senior Championship,Limerick,0,11,Wexford,0,12,11,12
6/24/17,Ulster GAA Football Senior Championship,Down,1,14,Monaghan,0,15,17,15
6/25/17,GAA Football All-Ireland Senior Championship,London,0,12,Carlow,0,13,12,13
6/25/17,GAA Football All-Ireland Senior Championship,Armagh,0,20,Fermanagh,0,11,20,11
6/25/17,GAA Football All-Ireland Senior Championship,Offaly,0,16,Cavan,0,17,16,17
6/25/17,Leinster GAA Football Senior Championship,Dublin,4,29,Westmeath,0,10,41,10
7/1/17,GAA Football All-Ireland Senior Championship,Laois,0,14,Clare,2,18,14,24
7/1/17,GAA Football All-Ireland Senior Championship,Mayo,2,21,Derry,1,13,27,16
7/1/17,GAA Football All-Ireland Senior Championship,Donegal,0,12,Longford,0,7,12,7
7/1/17,GAA Football All-Ireland Senior Championship,Meath,0,14,Sligo,1,9,14,12
7/2/17,Munster GAA Football Senior Championship,Kerry,1,23,Cork,0,15,26,15
7/8/17,GAA Football All-Ireland Senior Championship,Cavan,0,18,Tipperary,2,15,18,21
7/8/17,GAA Football All-Ireland Senior Championship,Carlow,2,14,Leitrim,0,13,20,13
7/8/17,GAA Football All-Ireland Senior Championship,Wexford,1,11,Monaghan,3,23,14,32
7/8/17,GAA Football All-Ireland Senior Championship,Clare,0,13,Mayo,2,14,13,20
7/8/17,GAA Football All-Ireland Senior Championship,Meath,1,14,Donegal,1,15,17,18
7/8/17,GAA Football All-Ireland Senior Championship,Westmeath,1,7,Armagh,1,12,10,15
7/9/17,Connacht GAA Football Senior Championship,Galway,0,12,Roscommon,2,15,12,21
7/15/17,GAA Football All-Ireland Senior Championship,Tipperary,1,15,Armagh,1,17,18,20
7/15/17,GAA Football All-Ireland Senior Championship,Carlow,1,7,Monaghan,1,12,10,15
7/16/17,Leinster GAA Football Senior Championship,Dublin,2,23,Kildare,1,17,29,20
7/16/17,Ulster GAA Football Senior Championship,Down,0,15,Tyrone,2,17,15,23
7/22/17,GAA Football All-Ireland Senior Championship,Cork,2,20,Mayo,0,27,26,27
7/22/17,GAA Football All-Ireland Senior Championship,Galway,4,17,Donegal,0,14,29,14
7/29/17,GAA Football All-Ireland Senior Championship,Down,1,16,Monaghan,1,24,19,27
7/29/17,GAA Football All-Ireland Senior Championship,Armagh,1,17,Kildare,0,17,20,17
7/30/17,GAA Football All-Ireland Senior Championship,Kerry,1,18,Galway,0,13,21,13
7/30/17,GAA Football All-Ireland Senior Championship,Roscommon,2,9,Mayo,1,12,15,15
8/5/17,GAA Football All-Ireland Senior Championship,Tyrone,3,17,Armagh,0,8,26,8
8/5/17,GAA Football All-Ireland Senior Championship,Dublin,1,19,Monaghan,0,12,22,12
8/7/17,GAA Football All-Ireland Senior Championship,Mayo,4,19,Roscommon,0,9,31,9
8/20/17,GAA Football All-Ireland Senior Championship,Kerry,2,14,Mayo,2,14,20,20
8/26/17,GAA Football All-Ireland Senior Championship,Kerry,0,17,Mayo,2,16,17,22
8/27/17,GAA Football All-Ireland Senior Championship,Dublin,2,17,Tyrone,0,11,23,11
9/17/17,GAA Football All-Ireland Senior Championship,Dublin,1,17,Mayo,1,16,20,19
1/27/18,Allianz Football League Roinn 1,Dublin,2,17,Kildare,2,10,23,16
1/27/18,Allianz Football League Roinn 2,Clare,1,12,Cavan,2,9,15,15
1/27/18,Allianz Football League Roinn 2,Cork,1,16,Tipperary,3,16,19,25
1/27/18,Allianz Football League Roinn 4,London,2,9,Carlow,2,14,15,20
1/27/18,Allianz Football League Roinn 4,Laois,2,12,Limerick,0,9,18,9
1/28/18,Allianz Football League Roinn 1,Kerry,2,18,Donegal,3,14,24,23
1/28/18,Allianz Football League Roinn 1,Monaghan,0,12,Mayo,0,13,12,13
1/28/18,Allianz Football League Roinn 1,Galway,1,9,Tyrone,0,8,12,8
1/28/18,Allianz Football League Roinn 2,Louth,0,11,Down,1,14,11,17
1/28/18,Allianz Football League Roinn 2,Roscommon,2,12,Meath,2,12,18,18
1/28/18,Allianz Football League Roinn 3,Armagh,2,17,Sligo,0,9,23,9
1/28/18,Allianz Football League Roinn 3,Fermanagh,3,7,Wexford,2,5,16,11
1/28/18,Allianz Football League Roinn 3,Offaly,1,13,Longford,3,18,16,27
1/28/18,Allianz Football League Roinn 3,Derry,2,14,Westmeath,2,17,20,23
1/28/18,Allianz Football League Roinn 4,Antrim,0,15,Leitrim,0,5,15,5
1/28/18,Allianz Football League Roinn 4,Wicklow,0,12,Waterford,0,12,12,12
2/3/18,Allianz Football League Roinn 1,Tyrone,1,11,Dublin,2,13,14,19
2/3/18,Allianz Football League Roinn 1,Mayo,2,9,Kerry,1,15,15,18
2/3/18,Allianz Football League Roinn 2,Cavan,3,17,Louth,0,13,26,13
2/4/18,Allianz Football League Roinn 1,Kildare,0,12,Monaghan,1,10,12,13
2/4/18,Allianz Football League Roinn 1,Donegal,0,14,Galway,1,12,14,15
2/4/18,Allianz Football League Roinn 2,Down,0,10,Cork,1,13,10,16
2/4/18,Allianz Football League Roinn 2,Tipperary,3,9,Roscommon,1,17,18,20
2/4/18,Allianz Football League Roinn 2,Meath,0,21,Clare,0,7,21,7
2/4/18,Allianz Football League Roinn 3,Sligo,1,16,Wexford,1,13,19,16
2/4/18,Allianz Football League Roinn 3,Longford,1,13,Derry,1,6,16,9
2/4/18,Allianz Football League Roinn 3,Fermanagh,2,11,Offaly,1,6,17,9
2/4/18,Allianz Football League Roinn 3,Westmeath,1,11,Armagh,2,17,14,23
2/4/18,Allianz Football League Roinn 4,London,1,16,Wicklow,0,10,19,10
2/4/18,Allianz Football League Roinn 4,Waterford,0,10,Antrim,2,12,10,18
2/4/18,Allianz Football League Roinn 4,Leitrim,3,10,Laois,3,16,19,25
2/4/18,Allianz Football League Roinn 4,Limerick,0,13,Carlow,2,11,13,17
2/10/18,Allianz Football League Roinn 1,Dublin,0,20,Donegal,0,15,20,15
2/10/18,Allianz Football League Roinn 4,Carlow,2,11,Leitrim,0,5,17,5
2/10/18,Allianz Football League Roinn 4,Laois,0,18,Waterford,1,11,18,14
2/11/18,Allianz Football League Roinn 1,Galway,1,13,Mayo,0,11,16,11
2/11/18,Allianz Football League Roinn 1,Kildare,0,18,Tyrone,1,16,18,19
2/11/18,Allianz Football League Roinn 2,Clare,0,11,Tipperary,0,11,11,11
2/11/18,Allianz Football League Roinn 2,Cork,2,11,Louth,0,10,17,10
2/11/18,Allianz Football League Roinn 2,Roscommon,0,7,Down,0,12,7,12
2/11/18,Allianz Football League Roinn 3,Armagh,1,11,Longford,1,10,14,13
2/11/18,Allianz Football League Roinn 3,Wexford,1,10,Westmeath,0,16,13,16
2/11/18,Allianz Football League Roinn 4,London,2,8,Limerick,2,8,14,14
2/11/18,Allianz Football League Roinn 4,Antrim,0,12,Wicklow,0,12,12,12
